t,Q
30/10/2023 07:04:00,112.466
30/10/2023 07:05:00,112.734
30/10/2023 07:06:00,111.304
30/10/2023 07:07:00,112.712
30/10/2023 07:08:00,112.87
30/10/2023 07:09:00,113.036
30/10/2023 07:10:00,113.467
30/10/2023 07:11:00,113.201
30/10/2023 07:12:00,112.021
30/10/2023 07:13:00,111.786
30/10/2023 07:14:00,112.876
30/10/2023 07:15:00,111.932
30/10/2023 07:16:00,112.007
30/10/2023 07:17:00,112.86
30/10/2023 07:18:00,112.376
30/10/2023 07:19:00,112.73
30/10/2023 07:20:00,112.206
30/10/2023 07:21:00,113.233
30/10/2023 07:22:00,112.641
30/10/2023 07:23:00,113.153
30/10/2023 07:24:00,112.138
30/10/2023 07:25:00,113.314
30/10/2023 07:26:00,113.098
30/10/2023 07:27:00,112.452
30/10/2023 07:28:00,113.079
30/10/2023 07:29:00,112.951
30/10/2023 07:30:00,113.484
30/10/2023 07:31:00,113.003
30/10/2023 07:32:00,112.726
30/10/2023 07:33:00,113.269
30/10/2023 07:34:00,113.116
30/10/2023 07:35:00,113.572
30/10/2023 07:36:00,112.768
30/10/2023 07:37:00,112.831
30/10/2023 07:38:00,112.794
30/10/2023 07:39:00,113.188
30/10/2023 07:40:00,113.741
30/10/2023 07:41:00,113.182
30/10/2023 07:42:00,112.868
30/10/2023 07:43:00,112.777
30/10/2023 07:44:00,112.304
30/10/2023 07:45:00,112.244
30/10/2023 07:46:00,112.856
30/10/2023 07:47:00,114.028
30/10/2023 07:48:00,113.919
30/10/2023 07:49:00,112.868
30/10/2023 07:50:00,112.68
30/10/2023 07:51:00,112.629
30/10/2023 07:52:00,113.595
30/10/2023 07:53:00,112.688
30/10/2023 07:54:00,112.402
30/10/2023 07:55:00,112.201
30/10/2023 07:56:00,113.232
30/10/2023 07:57:00,113.689
30/10/2023 07:58:00,112.972
30/10/2023 07:59:00,113.037
30/10/2023 08:00:00,112.681
30/10/2023 08:01:00,112.669
30/10/2023 08:02:00,112.635
30/10/2023 08:03:00,113.403
30/10/2023 08:04:00,113.545
30/10/2023 08:05:00,112.91
30/10/2023 08:06:00,113.033
30/10/2023 08:07:00,113.489
30/10/2023 08:08:00,113.337
30/10/2023 08:09:00,114.634
30/10/2023 08:10:00,112.482
30/10/2023 08:11:00,113.187
30/10/2023 08:12:00,113.4
30/10/2023 08:13:00,112.247
30/10/2023 08:14:00,113.052
30/10/2023 08:15:00,113.047
30/10/2023 08:16:00,113.275
30/10/2023 08:17:00,112.595
30/10/2023 08:18:00,111.609
30/10/2023 08:19:00,113.155
30/10/2023 08:20:00,112.184
30/10/2023 08:21:00,112.78
30/10/2023 08:22:00,113.033
